No,대표코드,품명,품번,경면(전면),임가공처
1994,T4-305,Grey,KD5010U,소프트엠보,"목림,승은산업,건창기업,제이제이 데코 등"
1995,S35-289,Grey,KD5010U,SJ1,청림보드 (성지라미텍 경면)
1996,S11-101,Grey,KD5010U,PM,"목림, 건창기업"
1997,S37-499,Grey,KD5010U,VS,청림보드(인터플러스 경면)
1998,S8-631,Grey,KD5010U,FB,목림
1999,AU-33,Grey,KD5010U(후면 소프트엠보),G+ 도장 (soft touch),크라텍
2000,T45-423,Grey,KD5014D,L,건창기업
2001,T44-582,Grey,KD5014D,목림273,
2002,U58-6,Grey,KD5014D,TS,
2003,S16-563,Grey,KD5014D,SM,"승은산업,건창기업(유사 HM)"
2004,T59-572,Grey,KD5014D,LV,
2005,S11-552,Grey,KD5014D,PM,"목림, 건창기업"
2006,AT-784,Grey,KD5014D,G+ 도장 (soft touch),크라텍
2007,AC-779,Grey,KD5014D,M2 도장 (easy coating),크라텍
2008,T4-838,Grey,KD5014D,소프트엠보,
2009,T40-574,Grey,KD5014D,HM,
2010,T64-684,Grey,KD5014D,SC,
2011,T50-264,Grey,KD5014D,CS,건창기업
2012,B7-61,Grey,KD5014D,민자,"목림,승은산업,건창기업,제이제이 데코 등"
2013,T32-358,Gray,KD5014D,S,건창기업
2014,S37-500,Grey,KD5014D,VS,청림보드(인터플러스 경면)
2015,U13,Grey,KD5014D,민자,"목림,승은산업,건창기업,제이제이 데코 등"
2016,T3-239,Grey,KD5014D,UK,목림
2017,S35-291,Grey,KD5014D,SJ1,청림보드 (성지라미텍 경면)
2018,S1-665,Grey,KD5014D,CT,목림
2019,S42-894,Grey,KD5014D,LE1,프린테크
2020,S9-623,Grey,KD5014D,CL,목림
2021,S8-632,Grey,KD5014D,FB,목림
2022,B44-87,Grey,KD5014D(중복),목림273,목림
2023,T44-658,Grey,KD5016U,목림273,
2024,T25-657,Grey,KD5016U,J,
2025,T45-656,Grey,KD5016U,L,
2026,T3-655,Grey,KD5016U,UK,
2027,T39-654,Grey,KD5016U,TK,
2028,T24-653,Grey,KD5016U,QT,
2029,T8-801,Grey,KD5016U,FB,
2030,T35-766,Grey,KD5016U,SJ1,
2031,T46-765,Grey,KD5016U,NS,
2032,T7-647,Grey,KD5016U,민자,
2033,T56-491,Grey,KD5016U,DP,승은산업
2034,T42-483,Grey,KD5016U,LE1,
2035,U61,Grey,KD5016U,민자,"목림,승은산업,건창기업,제이제이 데코 등"
2036,T37-476,Grey,KD5016U,VS,
2037,U64-75,Grey,KD5016U,SC,
2038,S11-110,Grey,KD5018U,PM,"목림, 건창기업"
2039,S26-142,Black,KD5021U,T,건창기업
2040,T40-435,Black,KD5021U,HM,목림(유사 SM)
2041,S11-111,Black,KD5021U,PM,"목림, 건창기업"
2042,S35-292,Black,KD5021U,SJ1,청림보드 (성지라미텍 경면)
2043,S7-299,Black,KD5021U,민자,"목림,승은산업,건창기업,제이제이 데코 등"
2044,U14,Black,KD5021U,민자,"목림,승은산업,건창기업,제이제이 데코 등"
2045,B36-36,Black,KD5021U,CH,청림보드(인터플러스 경면) 
2046,S9-628,Black,KD5021U,CL,목림
2047,S37-438,Black,KD5021U,VS,청림보드(인터플러스 경면)
2048,B1-35,Black,KD5021U,CT,목림
2049,S1-839,Grey,KD5023D,CT,목림
2050,T37-461,Grey,KD5023D,VS,
2051,S40-646,Grey,KD5023D,HM,목림(유사 SM)
2052,U15,Grey,KD5023D,민자,"목림,승은산업,건창기업,제이제이 데코 등"
2053,B62-594,Grey,KD5023D,AK,목림
2054,T9-58,Grey,KD5023D,CL,목림
2055,U56-92,Brown,KD5023D,DP,
2056,U7-17,Grey,KD5040U,민자,
2057,T3-511,KDW-2167,KDW-2167,UK,
2058,B42-248,KG-H-1131,KG-H-1131,LE1,프린테크
2059,B16-796,MS501,MS501,SM,
2060,B7-795,MS501,MS501,민자,
2061,B9-241,MS517,MS517,CL,목림
2062,B64-728,MS518(유신물산),MS518(유신물산),SC,
2063,B9-242,MS527,MS527,CL,목림
2064,B64-726,MS532(유신물산),MS532(유신물산),SC,
2065,B1-121,Grey,N105,CT,목림
2066,A9-171,N144,N144,CL,목림
2067,B64-915,N239,N239,SC,
2068,B42-707,N241,N241,LE1,
2069,B64-729,N241(효산),N241(효산),SC,
2070,B40-573,N243,N243,LE1,프린테크
2071,B42-704,N244,N244,LE1,
2072,B42-705,N246,N246,LE1,
2073,B42-706,N252,N252,LE1,
2074,C7-16,PTA469,PTA469,민자,
2075,B37-5,S833(효산품번),S833,VS,청림보드(인터플러스 경면)
2076,HF4-41,SA18,SA18,BF,
2077,R37-386,Granitello,SA32,VS,청림보드(인터플러스 경면)
2078,R3-387,Walnut,SA34,UK,
2079,HF4-39,SA5,SA5,BF,
2080,HF4-40,SA9,SA9,BF,
2081,S35,SJ1 경면,SJ1 경면,SJ1,청림보드 (성지라미텍 경면)
2082,B37-579,SM1023S,SM1023S,VS,
2083,B42-249,SM1024M,SM1024M,LE1,프린테크
2084,B37-580,SM1025T,SM1025T,VS,
2085,B9-250,SM1153X,SM1153X,CL,목림
2086,B58-424,SM1153X,SM1153X,TS,건창기업
2087,S37,VS 경면,VS 경면,VS,청림보드(인터플러스 경면)
2088,T64-701,White,XH1004D,SC,
2089,T44-798,White,XH1004D,목림273,
2090,T42-625,White,XH1004D,LE1,
2091,T16-870,White,XH1004D,SM,
2092,U16,White,XH1004D,민자,"목림,승은산업,건창기업,제이제이 데코 등"
2093,B62-595,White,XH1004D,AK,목림
2094,S11-286,White,XH1004D,PM,"목림, 건창기업"
2095,S37-906,White,XH1004D,VS,청림보드(인터플러스 경면)
2096,S9-897,White,XH1004D,CL,목림
2097,B31-221,Grey,XH5013D,F,건창기업
2098,T26-235,Grey,XH5013D,T,건창기업
2099,S42-863,Grey,XH5013D,LE1,프린테크
